masked_text,labels
"they has been with the firm for seventeen years . tapiwa is also the partner in charge of the deloitte bulawayo office . tapiwa is a business rescue practitioner , and helps businesses to return to profitability through management improvement and business re - engineering as may be deemed appropriate . they is the former chairperson of the matabeleland society of chartered accountants committee and also a member of the council of the institute of chartered accountants in zimbabwe ( icaz ) .",1
"a conviction that organisations could do considerably , and sustainably , better if people were better managed led them to write their first book , “ lean organisations need fat people ” and to found their company , zealise limited and develop their ' every individual matters ' model as a catalyst to engender and embed shared vision and common purpose in organisations , making the workplace more humane and more effective . they recently published “ the democracy delusion ” to challenge wider socio - economic and political management issues , and proffer new solutions , building on these concepts .",1
"l. john walpole has been issued a tennessee license number 3100 . all cpas , including l. john walpole , have at the minimum an undergraduate degree in accounting , passed a rigorous national exam and adhere to mandated continuing education requirements of their states in which they are licensed . cpas can work in private industry , education or government but most people think of cpas during tax season as the experts in tax preparation . their overall training in business and knowledge in principles of general law and taxation provide cpas with the skills to help individuals with both personal and business financial decisions .",0
"most recently , they was deputy group cfo at interdealer broker icap . stephen has also held posts as cfo at ebs , the spot fx electronic trading platform , and deputy head of finance at the london stock exchange .",1
"they was employed with the very well - known company price waterhouse . since 2003 they has also been recognized as a patient advocate leader with the bone and joint decade ( a global alliance of musculoskeletal health ) . in their early 20 ’s peter was affected by severe joint problems in their left hip . they tried countless therapies , but found very little help .",1
"they has over 25 years of experience in tax preparation for individuals , small business and estates , and is a graduate of the university of michigan - dearborn martin lavelle , secretary",1
"david madore , a private citizen , has asked their to take a look at columbia river crossing ’s books . kpam host victoria taft asks their what they ’s uncovered . couch reports having difficulty obtaining what they calls some of the basic accounting records ...",0
"they loves being an accountant . the variety and problem solving aspects of the job keep each day fresh . they spends any spare time with their husband , children and grandchildren .",0
"they have two grown sons and three beautiful granddaughters . in their free time , laurie likes to spend time with their family , travel , write , work in their hosta garden and solve diagram - less crossword puzzles .",0
"they has over five years of experience in public accounting , with an emphasis in higher education accounting regulations . brent holds a bachelor of business administration in accounting from the university of texas at san antonio . in their free time , they enjoys reading , exploring southern california , and being an audience member at television tapings .",1
"their firm provides tax preparation and planning , contracted cfo services , representation before state authorities and the irs , bookkeeping , retirement and estate tax planning , back office management services and computer systems consultations .",1
kevin is the principal of their own accounting firm and supports corporate services as well as community services . kevin brings great support to real advantage institute and to the general community .,1
"they has worked previously with fifth third bank and bank of america leading best - in - class sales , service , production and operations teams . rick has a ba in public relations and journalism from lipscomb university and a master of business administration degree from middle tennessee state university . in addition to their tax and advisory practice , rick works with businesses who wish to streamline their financial reporting using cloud - based reporting systems to provide timely , accurate information . they also represents clients who are under review with the internal revenue service and state tax authorities .",1
"their 40 plus year career includes being an audit partner in arthur andersen , a member of andersen ’s professional standards group ( “ national office ” ) in chicago , the director of financial reporting for a fortune 50 company and most recently , the editorial director of cch ’s accounting research manager . currently , ron does independent writing and analysis together with accounting consultation on a variety of topics .",1
they . bello is the president of the ofw congress in riyadh . they initiated the raising of a big amount of money from the ofws for the guinsaugon landslide victims in southern leyte through the secretary of labor marianito roque to owwa .,1
"they . chopra during their career span of over 30 years has held senior management roles in several industries - trading , projects , manufacturing and other diversified businesses .",1
"after they received their master of science in accountancy , they began their career working for a big four international accounting firm in their tax division . later they . mclean opened their own professional private practice where they has worked for private companies , and has 30 years ’ experience in public accounting specializing in international tax planning and accounting . james is also a member of the american institute of certified public accountants ( aicpa ) , the texas society of cpa ’s ( tscpa ) , the tscap committee for relations with irs , aicpa tax section . they is certified as a charter global management accountant and accredited in business valuation by the aicpa .",1
"they has also appeared and cleared certified public accountant course from usa . over the years while working with various organisations both in india and abroad , they has gained rich experience in dealing with various facets of finance and accounts . out of 20 years of experience they has spent 10 years in the aviation industry while working with club one air since 2005 .",1
regis joined starafricacorporation in 2006 as group finance manager and was subsequently promoted to the post of group finance director . they was appointed to the board of directors in january 2011 .,1
"they has worked as a financial services professional to both public , and private sector projects in sierra leone , and ghana . they is a managing partner at bdo ( previously pkf sierra leone ) an international financial services and business consulting firm with member offices across the globe . they leads engagement and reporting for bdo audit clients including ; care , usaid , and multiple eu and world bank funded projects .",1
"they offers exhaustive knowledge of reporting practices and requirements for public companies based in canada and the united states . wilmot has been involved in numerous business valuations and acquisitions , high tech start - ups and international mining operations .",1
"besides their dream of a world of limitless energy , they has always been passionate about the non - profit sector . julie started their career and worked in the non - profit sector for years before leaving to help the solar industry . they enjoys spending their free time in aid of the non - profit organizations that are close to their heart .",0
"they now volunteers as a teaching assistant in first grade at longfellow elementary school . they currently serves as treasurer of mwa 's island range chapter . they enjoys hiking , wildflower photography , and snowshoeing .",0
"in addition to a comprehensive range of services , some of the specialities offered by jesowshek and their firm include tax planning and preparation , with a deep understanding of best practices as it relates to cryptocurrency .",1
"that is , their real life . as the monotonous nature of crunching numbers and drawn - out board meetings slowly eats away at their , the only bright side to their otherwise mundane routine lies on the black and white pages of their debut romance novel . their inspiration ? a long - time infatuation — tyler andrews . until the olympic swimmer read their novel and connected the dots … tyler andrews is used to being the center of attention . [ … ]",0
"carla has operated their own accounting practice , been employed as a tax accountant for both small and large accounting firms , and held a position with a “ big 4 ” accounting firm . previously , carla served as the chief financial officer for a mid - sized manufacturer in virginia , and held academic appointments such as chair of the department of accounting and finance . carla specializes in teaching taxation , managerial accounting , and controllership , and has also taught courses in financial accounting , energy accounting , corporate finance , and entrepreneurship .",0
"they has 9 years of direct non - profit experience in the design and construction industry . they . fargo ’s expertise includes management of staff , strategic planning , budget preparation , financial statement presentation , and audit and tax preparation work .",1
